(PDH-CSV 4.0) (Eastern Daylight Time)(240),\\NCR-HKL59E0D3TQ\.NET CLR Memory(NCR.APTRA.CnsmrAppReference)\# Bytes in all Heaps,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Handle Count,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Private Bytes,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Thread Count,\\NCR-HKL59E0D3TQ\Process(NCR.APTRA.CnsmrAppReference)\Virtual Bytes,"Generate a report detailing the status of local hardware resources, system response times, and processes on the local computer. Use this information to identify possible causes of performance issues. Membership in the local Administrators group, or equivalent, is the minimum required to run this Data Collector Set."
33:30.6,36381764,4515,214622208,202,855183360, 
33:45.6,36381764,4516,214396928,203,855445504, 
34:00.6,36381764,4518,214630400,202,855183360, 
34:15.6,36381764,4524,214683648,204,856494080, 
34:30.6,36381764,4523,214429696,203,856231936, 
34:45.6,36381764,4524,214401024,205,857542656, 
35:00.5,36381764,4501,214667264,203,855437312, 
35:15.6,36381764,4523,214712320,204,857346048, 
35:30.5,34928096,4524,214372352,205,857542656, 
35:45.6,34928096,4522,214380544,204,856494080, 
36:00.5,34928096,4516,214622208,202,855183360, 
36:15.5,34928096,4519,214646784,203,855445504, 
36:30.6,34928096,4518,214376448,203,856231936, 
36:45.6,34928096,4521,214671360,204,856494080, 
37:00.6,34928096,4512,214638592,202,854388736, 
37:15.6,34928096,4520,214392832,203,856231936, 
37:30.6,34928096,4500,214638592,202,854388736, 
37:45.5,34928096,4515,214372352,202,854396928, 
38:00.6,34928096,4511,214634496,201,854134784, 
38:15.6,35156604,4516,214339584,202,855248896, 
38:30.6,36381764,4501,214683648,202,853938176, 
38:45.6,36381764,4502,214392832,203,854200320, 
39:00.6,36381764,4479,214663168,201,852094976, 
39:15.6,36381764,4501,214695936,202,853938176, 
39:30.6,36381764,4496,214749184,202,853196800, 
39:45.6,35112596,4556,203112448,204,855998464, 
40:00.6,35227816,4570,241065984,207,860340224, 
40:15.6,35117220,4584,214552576,209,865857536, 
40:30.6,35344016,4623,210526208,212,864653312, 
40:45.6,35038448,4639,215056384,211,864555008, 
41:00.5,35038448,4637,215248896,209,861671424, 
41:15.5,35361148,4640,203108352,208,860073984, 
41:30.6,35249660,4657,241688576,208,861335552, 
41:45.6,34978636,4638,212447232,207,862765056, 
42:00.6,34981776,4643,209354752,205,857784320, 
42:15.6,35478664,4701,208998400,212,864817152, 
42:30.6,35478664,4705,214253568,207,860360704, 
42:45.6,35046000,4669,203177984,204,856801280, 
43:00.6,35046000,4669,202969088,201,853520384, 
43:15.5,35250112,4722,237281280,206,859303936, 
43:30.6,35026008,4675,214433792,204,862187520, 
43:45.6,35026008,4717,211808256,204,858763264, 
44:00.6,35031112,4708,208515072,204,855949312, 
44:15.6,36448204,4740,215998464,210,862846976, 
44:30.6,36560796,4743,217247744,206,859369472, 
44:45.6,36275336,4723,215547904,203,861204480, 
45:00.6,36282724,4733,213209088,201,856600576, 
45:15.6,36545732,4779,210063360,204,856735744, 
45:30.6,37716280,4818,217460736,212,865079296, 
45:45.6,37580024,4797,217305088,209,862457856, 
46:00.6,37693976,4802,205881344,205,857849856, 
46:15.6,37666552,4813,238682112,210,863498240, 
46:30.6,37681708,4792,215351296,207,862822400, 
46:45.6,37897328,4820,211943424,208,860995584, 
47:00.6,39026076,4845,217583616,214,867041280, 
47:15.6,38975112,4843,207036416,210,862171136, 
47:30.6,39167872,4873,218042368,208,866779136, 
47:45.5,38926728,4860,212979712,209,862826496, 
48:00.6,39485528,4875,212828160,208,860995584, 
48:15.6,40231520,4901,212914176,213,865865728, 
48:30.6,40518384,4909,213725184,211,863895552, 
48:45.5,40434360,4934,240324608,213,866906112, 
49:00.6,40300940,4921,218652672,209,864862208, 
49:15.6,40363040,4937,215195648,210,862306304, 
49:30.6,41691404,4954,221818880,218,871895040, 
49:45.6,41691404,4941,221278208,208,861409280, 
50:00.6,41691404,4927,221458432,205,857477120, 
50:15.6,41805628,4943,220950528,208,861409280, 
50:30.6,41805628,4944,220749824,202,855117824, 
50:45.6,41506324,4953,217149440,205,858390528, 
51:00.5,41812496,4965,247869440,207,860352512, 
51:15.5,41789428,4984,219197440,209,865017856, 
51:30.6,41772056,4977,214777856,207,859160576, 
51:45.6,42892384,4992,210182144,207,859947008, 
52:00.6,43062348,5008,248983552,209,862449664, 
52:15.6,42987052,4999,219971584,209,864141312, 
52:30.6,42888924,5052,216469504,212,864403456, 
52:45.6,35139504,4612,215187456,215,867962880, 
53:00.6,35427728,4599,203530240,209,861908992, 
53:15.6,35209932,4583,203517952,206,857976832, 
53:30.6,35428672,4602,208179200,209,861728768, 
53:45.6,35180784,4573,214081536,203,861405184, 
54:00.6,35243300,4575,211746816,203,858505216, 
54:15.5,35243300,4563,211603456,198,853262336, 
54:30.6,35331324,4592,212480000,202,857452544, 
54:45.5,35378436,4615,209309696,203,855687168, 
55:00.6,35318948,4678,215224320,212,865603584, 
55:15.5,35318948,4683,214884352,209,862457856, 
55:30.6,35318948,4686,215138304,208,861409280, 
55:45.6,35318948,4680,214794240,207,860360704, 
56:00.6,35157888,4687,214986752,207,860622848, 
56:15.5,35283152,4691,203890688,205,857063424, 
56:30.6,35811080,4735,223535104,211,864677888, 
56:45.6,35255000,4689,214700032,207,865394688, 
57:00.6,35627192,4750,209649664,211,863354880, 
57:15.6,35713756,4767,209715200,214,866500608, 
57:30.6,35943764,4784,215846912,212,864817152, 
57:45.6,35943764,4778,215449600,209,862457856, 
58:00.6,35943764,4778,215576576,210,863506432, 
58:15.5,35943764,4779,215810048,210,862720000, 
58:30.6,35943764,4782,215482368,211,863768576, 
58:45.6,36145740,4780,216100864,210,863506432, 
59:00.5,36145740,4780,216096768,210,863506432, 
59:15.5,36145740,4774,216096768,209,861736960, 
59:30.5,36145740,4778,216109056,209,862523392, 
59:45.6,36145740,4776,216092672,209,862523392, 
00:00.5,36145740,4777,215781376,210,862785536, 
00:15.6,36145740,4773,216096768,208,861474816, 
00:30.6,36145740,4778,215875584,209,862523392, 
00:45.6,36145740,4779,216141824,210,862785536, 
01:00.6,36145740,4776,216117248,208,861474816, 
01:15.6,36145740,4768,215851008,207,860426240, 
01:30.6,35879716,4751,216190976,210,862785536, 
01:45.6,35879716,4753,216190976,209,862523392, 
02:00.5,35879716,4753,215965696,210,863637504, 
02:15.5,35879716,4750,216190976,209,862588928, 
02:30.5,35879716,4758,216240128,211,863899648, 
02:45.5,35879716,4757,215986176,210,863637504, 
03:00.5,36396188,4570,215511040,210,863637504, 
03:15.6,36396188,4567,215834624,209,861802496, 
03:30.6,36396188,4570,215650304,209,862642176, 
03:45.5,36396188,4571,215547904,209,862642176, 
04:00.5,36396188,4568,215937024,211,863952896, 
04:15.6,36396188,4569,215912448,209,862642176, 
