(PDH-CSV 4.0) (India Standard Time)(-330),\\NCR-3M6OJM5HB98\.NET CLR Memory(StartSupv)\# Bytes in all Heaps,\\NCR-3M6OJM5HB98\Process(StartSupv)\Handle Count,\\NCR-3M6OJM5HB98\Process(StartSupv)\Private Bytes,\\NCR-3M6OJM5HB98\Process(StartSupv)\Thread Count,\\NCR-3M6OJM5HB98\Process(StartSupv)\Virtual Bytes,Byte In All Heaps ( In MB ),Private Bytes ( In MB ),Virual Bytes ( In MB )
08-06-18 19:58,14560124,3338,126926848,135,583491584,13.8856163,121.046875,556.4609375
08-06-18 19:58,14560124,3356,127000576,138,586637312,13.8856163,121.1171875,559.4609375
08-06-18 19:59,14560124,3343,126951424,136,584540160,13.8856163,121.0703125,557.4609375
08-06-18 19:59,14560124,3347,126967808,137,585588736,13.8856163,121.0859375,558.4609375
08-06-18 19:59,14560124,3347,126967808,137,585588736,13.8856163,121.0859375,558.4609375
08-06-18 19:59,14555808,3343,126537728,137,585588736,13.88150024,120.6757813,558.4609375
08-06-18 20:00,14553692,3351,126423040,138,586637312,13.87948227,120.5664063,559.4609375
08-06-18 20:00,14557192,3356,126439424,139,587685888,13.88282013,120.5820313,560.4609375
08-06-18 20:00,14575508,3361,126439424,139,587685888,13.90028763,120.5820313,560.4609375
08-06-18 20:00,14561124,3377,126455808,140,588734464,13.88656998,120.5976563,561.4609375
08-06-18 20:01,14561124,3369,126386176,137,585588736,13.88656998,120.53125,558.4609375
08-06-18 20:01,14561124,3374,126406656,138,586637312,13.88656998,120.5507813,559.4609375
08-06-18 20:01,14561124,3369,126365696,136,584540160,13.88656998,120.5117188,557.4609375
08-06-18 20:01,14561124,3369,126365696,136,584540160,13.88656998,120.5117188,557.4609375
08-06-18 20:02,14559900,3358,126423040,138,585850880,13.88540268,120.5664063,558.7109375
08-06-18 20:02,14559900,3362,126427136,138,586637312,13.88540268,120.5703125,559.4609375
08-06-18 20:02,14559900,3351,126386176,137,585588736,13.88540268,120.53125,558.4609375
08-06-18 20:02,14559900,3351,126386176,137,585588736,13.88540268,120.53125,558.4609375
08-06-18 20:03,14559900,3347,126365696,136,584540160,13.88540268,120.5117188,557.4609375
08-06-18 20:03,14554124,3360,126423040,139,587685888,13.87989426,120.5664063,560.4609375
08-06-18 20:03,14557548,3362,126418944,139,587685888,13.88315964,120.5625,560.4609375
08-06-18 20:03,14557548,3357,126402560,138,586637312,13.88315964,120.546875,559.4609375
08-06-18 20:04,14557548,3349,126361600,136,584540160,13.88315964,120.5078125,557.4609375
08-06-18 20:04,14557548,3349,126357504,136,584540160,13.88315964,120.5039063,557.4609375
08-06-18 20:04,14557548,3349,126357504,136,584540160,13.88315964,120.5039063,557.4609375
08-06-18 20:04,14560744,3376,126443520,140,588734464,13.88620758,120.5859375,561.4609375
08-06-18 20:05,14560744,3376,126427136,139,587685888,13.88620758,120.5703125,560.4609375
08-06-18 20:05,14560744,3373,126390272,137,585588736,13.88620758,120.5351563,558.4609375
08-06-18 20:05,14560744,3370,126365696,136,584540160,13.88620758,120.5117188,557.4609375
08-06-18 20:05,14560744,3367,126349312,135,583491584,13.88620758,120.4960938,556.4609375
08-06-18 20:06,14557964,3344,126345216,135,583491584,13.88355637,120.4921875,556.4609375
08-06-18 20:06,14557964,3367,126435328,139,587685888,13.88355637,120.578125,560.4609375
08-06-18 20:06,14557964,3359,126390272,137,585588736,13.88355637,120.5351563,558.4609375
08-06-18 20:06,14557964,3358,126386176,137,585588736,13.88355637,120.53125,558.4609375
08-06-18 20:07,14557964,3353,126361600,136,584540160,13.88355637,120.5078125,557.4609375
08-06-18 20:07,14551284,3350,126435328,137,585588736,13.87718582,120.578125,558.4609375
08-06-18 20:07,14553940,3374,126513152,140,588812288,13.87971878,120.6523438,561.5351563
08-06-18 20:07,14553612,3373,126513152,140,588734464,13.87940598,120.6523438,561.4609375
08-06-18 20:08,14582412,3374,126459904,138,585850880,13.9068718,120.6015625,558.7109375
08-06-18 20:08,14582412,3390,126492672,139,587685888,13.9068718,120.6328125,560.4609375
08-06-18 20:08,14582412,3382,126439424,137,585588736,13.9068718,120.5820313,558.4609375
08-06-18 20:08,14582412,3379,126410752,136,584540160,13.9068718,120.5546875,557.4609375
08-06-18 20:09,14582412,3374,126394368,135,583491584,13.9068718,120.5390625,556.4609375
08-06-18 20:09,14558556,3359,126414848,136,584540160,13.88412094,120.5585938,557.4609375
08-06-18 20:09,14551040,3378,126468096,138,586637312,13.87695313,120.609375,559.4609375
08-06-18 20:09,14551040,3370,126423040,136,584540160,13.87695313,120.5664063,557.4609375
08-06-18 20:10,14551040,3364,126410752,136,584540160,13.87695313,120.5546875,557.4609375
08-06-18 20:10,14551040,3369,126427136,137,585588736,13.87695313,120.5703125,558.4609375
08-06-18 20:10,14551040,3368,126431232,137,585588736,13.87695313,120.5742188,558.4609375
08-06-18 20:10,14552084,3376,126472192,139,587685888,13.87794876,120.6132813,560.4609375
08-06-18 20:11,14552612,3371,126439424,137,585588736,13.8784523,120.5820313,558.4609375
08-06-18 20:11,14564092,3389,126476288,139,587685888,13.88940048,120.6171875,560.4609375
08-06-18 20:11,14564092,3383,126459904,138,586637312,13.88940048,120.6015625,559.4609375
08-06-18 20:11,14564092,3383,126459904,138,586637312,13.88940048,120.6015625,559.4609375
08-06-18 20:12,14564092,3377,126414848,136,584540160,13.88940048,120.5585938,557.4609375
08-06-18 20:12,14564092,3380,126414848,136,584540160,13.88940048,120.5585938,557.4609375
08-06-18 20:12,14557172,3365,126410752,136,584540160,13.88280106,120.5546875,557.4609375
08-06-18 20:12,14565020,3382,126476288,138,586637312,13.89028549,120.6171875,559.4609375
08-06-18 20:13,14565020,3369,126406656,135,583491584,13.89028549,120.5507813,556.4609375
08-06-18 20:13,14565020,3371,126439424,137,585588736,13.89028549,120.5820313,558.4609375
08-06-18 20:13,14565020,3371,126439424,137,585588736,13.89028549,120.5820313,558.4609375
08-06-18 20:13,14565020,3372,126439424,137,585588736,13.89028549,120.5820313,558.4609375
08-06-18 20:14,14552472,3380,126484480,138,586649600,13.87831879,120.625,559.4726563
08-06-18 20:14,14560540,3388,126500864,139,587685888,13.88601303,120.640625,560.4609375
08-06-18 20:14,14568448,3395,126521344,140,588734464,13.89355469,120.6601563,561.4609375
08-06-18 20:14,14568448,3389,126468096,138,586637312,13.89355469,120.609375,559.4609375
08-06-18 20:15,14568448,3384,126447616,137,585588736,13.89355469,120.5898438,558.4609375
08-06-18 20:15,14568448,3384,126431232,136,584540160,13.89355469,120.5742188,557.4609375
08-06-18 20:15,14568448,3383,126402560,135,583491584,13.89355469,120.546875,556.4609375
08-06-18 20:15,14549756,3382,126472192,138,586637312,13.87572861,120.6132813,559.4609375
08-06-18 20:16,14549756,3382,126480384,138,586637312,13.87572861,120.6210938,559.4609375
08-06-18 20:16,14549756,3379,126455808,137,585588736,13.87572861,120.5976563,558.4609375
08-06-18 20:16,14549756,3378,126447616,137,585588736,13.87572861,120.5898438,558.4609375
08-06-18 20:16,14549756,3378,126443520,137,585588736,13.87572861,120.5859375,558.4609375
08-06-18 20:17,14552472,3380,126476288,138,586637312,13.87831879,120.6171875,559.4609375
08-06-18 20:17,14554580,3387,126500864,139,587685888,13.88032913,120.640625,560.4609375
08-06-18 20:17,14554580,3389,126496768,139,587685888,13.88032913,120.6367188,560.4609375
08-06-18 20:17,14554580,3383,126443520,137,585588736,13.88032913,120.5859375,558.4609375
08-06-18 20:18,14570372,3380,126423040,136,584540160,13.89538956,120.5664063,557.4609375
08-06-18 20:18,14570372,3401,126517248,140,588734464,13.89538956,120.65625,561.4609375
08-06-18 20:18,14570372,3396,126455808,137,585588736,13.89538956,120.5976563,558.4609375
