"(PDH-CSV 4.0) (India Standard Time)(-330)","\\WIN-GD2MSP71P5I\.NET CLR Memory(TCPIPCommsService)\# Bytes in all Heaps","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Handle Count","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Private Bytes","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Thread Count","\\WIN-GD2MSP71P5I\Process(TCPIPCommsService)\Virtual Bytes"
"10/24/2018 16:21:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:21:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:21:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:21:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:22:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:22:12.644","0","322","23556096","12","172969984"
"10/24/2018 16:22:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:22:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:22:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:22:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:23:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:23:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:23:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:23:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:23:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:23:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:24:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:24:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:24:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:24:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:24:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:24:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:25:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:25:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:25:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:25:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:25:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:25:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:26:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:26:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:26:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:26:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:26:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:26:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:27:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:27:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:27:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:27:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:27:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:27:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:28:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:28:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:28:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:28:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:28:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:28:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:29:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:29:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:29:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:29:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:29:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:29:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:30:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:30:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:30:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:30:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:30:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:30:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:31:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:31:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:31:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:31:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:31:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:31:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:32:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:32:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:32:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:32:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:32:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:32:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:33:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:33:12.628","0","322","23556096","12","172969984"
"10/24/2018 16:33:22.628","0","322","23556096","12","172969984"
"10/24/2018 16:33:32.628","0","322","23556096","12","172969984"
"10/24/2018 16:33:42.628","0","322","23556096","12","172969984"
"10/24/2018 16:33:52.628","0","322","23556096","12","172969984"
"10/24/2018 16:34:02.628","0","322","23556096","12","172969984"
"10/24/2018 16:34:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:34:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:34:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:34:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:34:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:35:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:35:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:35:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:35:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:35:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:35:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:36:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:36:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:36:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:36:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:36:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:36:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:37:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:37:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:37:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:37:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:37:42.613","0","322","23621632","12","172969984"
"10/24/2018 16:37:52.613","0","322","23621632","12","172969984"
"10/24/2018 16:38:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:38:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:38:22.644","0","322","23621632","12","172969984"
"10/24/2018 16:38:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:38:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:38:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:39:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:39:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:39:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:39:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:39:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:39:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:40:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:40:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:40:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:40:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:40:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:40:52.644","0","322","23621632","12","172969984"
"10/24/2018 16:41:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:41:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:41:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:41:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:41:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:41:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:42:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:42:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:42:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:42:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:42:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:42:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:43:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:43:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:43:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:43:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:43:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:43:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:44:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:44:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:44:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:44:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:44:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:44:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:45:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:45:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:45:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:45:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:45:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:45:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:46:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:46:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:46:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:46:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:46:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:46:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:47:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:47:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:47:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:47:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:47:42.628","0","322","23621632","12","172969984"
"10/24/2018 16:47:52.628","0","322","23621632","12","172969984"
"10/24/2018 16:48:02.628","0","322","23621632","12","172969984"
"10/24/2018 16:48:12.628","0","322","23621632","12","172969984"
"10/24/2018 16:48:22.628","0","322","23621632","12","172969984"
"10/24/2018 16:48:32.628","0","322","23621632","12","172969984"
"10/24/2018 16:48:42.628","0","322","23621632","12","172969984"
