(PDH-CSV 4.0) (India Standard Time)(-330),\\HYD-GOLCONDA\.NET CLR Memory(NCR.APTRA.CnsmrAppActivateEnterprise)\# Bytes in all Heaps,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Handle Count,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Private Bytes,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Thread Count,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Virtual Bytes,\\HYD-GOLCONDA\Process(NCR.APTRA.CnsmrAppActivateEnterprise)\Working Set - Private
03-01-19 12:50,29032604,4729,354918400,207,1263185920,282005504
03-01-19 12:50,29174384,4741,354738176,207,1263972352,281927680
03-01-19 12:50,29058456,4744,354357248,212,1269739520,281337856
03-01-19 12:50,29278456,4723,354402304,210,1267118080,281489408
03-01-19 12:50,29025692,4731,354746368,211,1268428800,281710592
03-01-19 12:50,29596784,4722,355016704,210,1267118080,282001408
03-01-19 12:50,29596784,4739,354787328,207,1263185920,281894912
03-01-19 12:50,29926284,4715,355811328,206,1261875200,282603520
03-01-19 12:50,29291568,4728,358334464,207,1263185920,284753920
03-01-19 12:50,30587520,4418,358977536,206,1261875200,284880896
03-01-19 12:50,30759824,4440,358977536,206,1261875200,284876800
03-01-19 12:51,30759824,4445,358830080,204,1259253760,284815360
03-01-19 12:51,30759824,4460,358895616,204,1259253760,284876800
03-01-19 12:51,30318112,4431,357765120,199,1252700160,283955200
03-01-19 12:51,30318112,4467,358273024,199,1260105728,284393472
03-01-19 12:51,30318112,4477,358428672,200,1254010880,284622848
03-01-19 12:51,30318112,4495,358445056,200,1254010880,284659712
03-01-19 12:51,30637692,4466,358453248,200,1254010880,284684288
03-01-19 12:51,30849076,4502,358801408,204,1259253760,284835840
03-01-19 12:51,31022012,4511,358834176,204,1259253760,285519872
03-01-19 12:51,31022012,4531,358834176,204,1259253760,285515776
03-01-19 12:51,30348136,4539,359149568,208,1264496640,285532160
03-01-19 12:51,30683136,4510,358199296,205,1261350912,284737536
03-01-19 12:52,30386188,4499,358481920,207,1263185920,284946432
03-01-19 12:52,30859608,4487,358645760,206,1262661632,285163520
03-01-19 12:52,30859608,4483,358076416,196,1248768000,284995584
03-01-19 12:52,30859608,4498,358121472,195,1248243712,285114368
03-01-19 12:52,30240580,4453,356876288,195,1247457280,283627520
03-01-19 12:52,30816044,4470,356962304,195,1248243712,284692480
03-01-19 12:52,31033076,4492,356937728,196,1249554432,284692480
03-01-19 12:52,31033076,4509,356945920,196,1249554432,284700672
03-01-19 12:52,30569820,4504,357126144,197,1250078720,285257728
03-01-19 12:52,30569820,4529,356995072,195,1248243712,285196288
03-01-19 12:52,30569820,4547,356429824,197,1250078720,284848128
03-01-19 12:52,30892256,4497,356401152,193,1245622272,284958720
03-01-19 12:53,30393288,4519,356843520,196,1248768000,285315072
03-01-19 12:53,30616320,4522,356872192,195,1248243712,285954048
03-01-19 12:53,30616320,4544,356945920,196,1248768000,285986816
03-01-19 12:53,30616320,4586,357031936,200,1254010880,286007296
03-01-19 12:53,30677068,4538,357068800,200,1254010880,286064640
03-01-19 12:53,30771480,4528,356990976,199,1253486592,285954048
03-01-19 12:53,30771480,4558,357150720,200,1253957632,286072832
03-01-19 12:53,31336216,4534,357068800,199,1252646912,286040064
03-01-19 12:53,31336216,4557,356417536,198,1251336192,285646848
03-01-19 12:53,31750356,4527,358346752,198,1252155392,288296960
03-01-19 12:53,30477464,4537,358711296,198,1252155392,289357824
03-01-19 12:53,30632984,4563,358785024,197,1251631104,289558528
03-01-19 12:54,30632984,4581,358858752,198,1252155392,289587200
03-01-19 12:54,30226416,4607,359796736,207,1263951872,290258944
03-01-19 12:54,30226416,4665,359587840,208,1265262592,290119680
03-01-19 12:54,30226416,4678,359800832,209,1266573312,290471936
03-01-19 12:54,30508792,4635,359137280,201,1256087552,290201600
03-01-19 12:54,30757812,4653,359309312,203,1258708992,290275328
03-01-19 12:54,30969676,4659,359276544,202,1257398272,291074048
03-01-19 12:54,30969676,4678,359354368,203,1258708992,291115008
03-01-19 12:54,30551676,4722,359583744,208,1265262592,291233792
03-01-19 12:54,30863660,4708,359698432,209,1266573312,291319808
03-01-19 12:54,30427636,4697,359047168,210,1267884032,290598912
03-01-19 12:54,31001704,4686,359366656,211,1269194752,290897920
03-01-19 12:55,31001704,4701,359256064,206,1262641152,290967552
03-01-19 12:55,30483620,4686,359206912,206,1262641152,290578432
03-01-19 12:55,31779980,4450,360452096,208,1265262592,291913728
03-01-19 12:55,31236592,4452,360542208,208,1265262592,291950592
03-01-19 12:55,31236592,4466,360468480,207,1264738304,291917824
03-01-19 12:55,31881104,4471,360427520,207,1263951872,291934208
03-01-19 12:55,31881104,4494,360251392,205,1262116864,291831808
03-01-19 12:55,31881104,4507,360349696,206,1263427584,291905536
03-01-19 12:55,32144360,4438,359043072,199,1254252544,290877440
03-01-19 12:55,32390084,4476,359596032,204,1260019712,291188736
03-01-19 12:55,32563268,4481,359923712,203,1259495424,291213312
03-01-19 12:55,32563268,4497,360148992,204,1260019712,291524608
03-01-19 12:56,32563268,4532,360230912,207,1263951872,291532800
03-01-19 12:56,32950856,4547,360448000,209,1266573312,291631104
03-01-19 12:56,32148604,4486,360398848,208,1266049024,291643392
03-01-19 12:56,32148604,4512,360472576,209,1266573312,291676160
03-01-19 12:56,32697404,4495,360472576,209,1267359744,291684352
03-01-19 12:56,32697404,4520,360329216,207,1263951872,291627008
03-01-19 12:56,31685992,4481,360239104,206,1263427584,291635200
03-01-19 12:56,32729992,4481,359456768,206,1262641152,291192832
03-01-19 12:56,31479792,4483,359706624,206,1262641152,291700736
03-01-19 12:56,31689084,4516,360140800,208,1265262592,292040704
03-01-19 12:56,31689084,4512,360189952,205,1262116864,292225024
03-01-19 12:56,31823308,4464,359534592,197,1250844672,291917824
03-01-19 12:57,32069068,4477,358879232,189,1243504640,291647488
03-01-19 12:57,32221208,4515,358961152,190,1241669632,291692544
03-01-19 12:57,32221208,4543,359038976,191,1242980352,291717120
03-01-19 12:57,31487960,4471,359112704,192,1244291072,291753984
03-01-19 12:57,31487960,4491,358948864,190,1241669632,291676160
03-01-19 12:57,31853224,4483,358383616,192,1244291072,291033088
03-01-19 12:57,31853224,4522,358535168,192,1244291072,290955264
03-01-19 12:57,31853224,4543,358793216,192,1244291072,291201024
03-01-19 12:57,31740708,4550,359370752,197,1250844672,291790848
03-01-19 12:57,32075568,4540,359579648,197,1250844672,291962880
03-01-19 12:57,31537340,4515,359424000,197,1250844672,291889152
03-01-19 12:57,31892964,4528,359493632,197,1250844672,291913728
03-01-19 12:58,31892964,4546,359489536,197,1250844672,291930112
03-01-19 12:58,32287984,4438,359432192,196,1249533952,292093952
03-01-19 12:58,31748596,4434,359452672,196,1249533952,292110336
03-01-19 12:58,32159680,4456,359718912,198,1252155392,292241408
03-01-19 12:58,32329544,4473,359043072,198,1252155392,291536896
03-01-19 12:58,31560036,4516,359968768,209,1269719040,291995648
03-01-19 12:58,31663368,4510,359927808,204,1260019712,292118528
03-01-19 12:58,31663368,4564,360288256,205,1261330432,292503552
03-01-19 12:58,31663368,4576,360361984,206,1262641152,292552704
03-01-19 12:58,31961964,4543,360284160,205,1261330432,292511744
03-01-19 12:58,31659908,4530,360357888,206,1262641152,292544512
03-01-19 12:58,31659908,4574,360284160,205,1262116864,292286464
03-01-19 12:59,31659908,4590,360337408,206,1262641152,292311040
03-01-19 12:59,31986972,4600,360321024,208,1266049024,292253696
03-01-19 12:59,32310192,4584,360398848,209,1266573312,292327424
03-01-19 12:59,31894100,4572,359698432,209,1267359744,291635200
03-01-19 12:59,32329244,4560,360050688,210,1267884032,291909632
03-01-19 12:59,32329244,4572,359985152,206,1263427584,292036608
03-01-19 12:59,32640992,4543,361275392,207,1263951872,293294080
03-01-19 12:59,32028036,4544,361123840,206,1262641152,293396480
03-01-19 12:59,32028036,4555,361050112,205,1261330432,293584896
03-01-19 12:59,31540136,4551,361234432,205,1262116864,293662720
03-01-19 12:59,31738780,4569,361472000,206,1262641152,293834752
03-01-19 12:59,31738780,4556,360751104,197,1251631104,293482496
03-01-19 13:00,31872816,4543,360812544,197,1250844672,293556224
03-01-19 13:00,32314024,4544,359747584,195,1251368960,292536320
03-01-19 13:00,31381824,4548,360087552,197,1250844672,292777984
