Session, Time, Virtual Bytes, Private Bytes, # Bytes in all Heaps, Handle Count, Thread Count
123,2018-09-24T10:16:14.017,1729020000,771428400,88480690,5502,267
124,2018-09-24T10:19:37.166,1704681000,748113900,89005970,5354,256
125,2018-09-24T10:20:38.925,1721057000,760893400,86303630,5476,264
126,2018-09-24T10:22:14.037,1722032000,757829600,88673760,5476,266
127,2018-09-24T10:23:17.923,1729503000,769490900,88254210,5504,269
128,2018-09-24T10:24:24.725,1726423000,767021100,86371540,5442,266
129,2018-09-24T10:25:35.126,1723220000,762245100,86556750,5480,266
130,2018-09-24T10:26:45.042,1725374000,759873500,86563040,5502,267
131,2018-09-24T10:28:04.712,1730445000,768397300,87495920,5562,267
132,2018-09-24T10:29:26.646,1725186000,762343400,88969520,5491,267
133,2018-09-24T10:31:46.468,1723834000,759210000,89540540,5460,267
134,2018-09-24T10:33:01.260,1708032000,746926100,88211120,5362,257
135,2018-09-24T10:34:09.339,1713447000,753188900,88527580,5415,258
136,2018-09-24T10:35:16.272,1726423000,764252200,89409280,5486,268
137,2018-09-24T10:36:28.939,1726013000,764764200,88708210,5493,266
138,2018-09-24T10:37:51.862,1726685000,765763600,88597070,5502,267
139,2018-09-24T10:38:49.925,1712349000,746287100,88806310,5414,260
140,2018-09-24T10:40:06.971,1724596000,763342800,89242510,5471,265
141,2018-09-24T10:41:01.709,1726038000,767234000,89342220,5487,267
142,2018-09-24T10:41:59.805,1728635000,765620200,88437890,5493,267
143,2018-09-24T10:44:18.776,1711202000,756756500,88253680,5384,256
144,2018-09-24T10:45:30.895,1722585000,765718500,89231660,5482,265
145,2018-09-24T10:46:27.270,1711178000,747954200,89449950,5391,258
146,2018-09-24T10:47:31.967,1727021000,767062000,89203120,5499,268
147,2018-09-24T10:48:47.248,1729176000,762146800,88869450,5496,269
148,2018-09-24T10:49:44.062,1733370000,772292600,89242610,5512,269
149,2018-09-24T10:50:41.739,1727537000,767586300,90013260,5489,267
150,2018-09-24T10:51:40.112,1730560000,762167300,88907550,5503,269
151,2018-09-24T10:52:41.345,1727472000,764407800,88613830,5501,266
152,2018-09-24T10:53:39.282,1733222000,775708700,89920560,5514,267
153,2018-09-24T11:02:27.303,1710186000,757084200,88474020,5381,256
154,2018-09-24T11:03:55.189,1736524000,769433600,89274890,5496,273
155,2018-09-24T11:05:43.969,1725334000,756367400,89241230,5404,265
156,2018-09-24T11:06:57.304,1731084000,771600400,89553780,5500,268
157,2018-09-24T11:07:49.623,1746944000,778952700,86348030,5511,276
158,2018-09-24T11:08:45.448,1743143000,771915800,88714850,5506,279
159,2018-09-24T11:09:37.114,1715765000,758927400,89092930,5420,258
160,2018-09-24T11:10:28.609,1758876000,802148400,88936320,5659,281
161,2018-09-24T11:11:26.780,1730363000,774778900,89869490,5507,266
162,2018-09-24T11:12:35.603,1733575000,772362200,86473340,5485,269
163,2018-09-24T11:15:37.363,1717502000,764461100,86595300,5362,254
164,2018-09-24T11:16:38.942,1712251000,752156700,88455330,5369,256
165,2018-09-24T11:17:35.519,1730298000,773914600,89220930,5480,266
166,2018-09-24T11:18:35.547,1739055000,775495700,89554430,5559,270
167,2018-09-24T11:19:22.351,1743012000,780484600,89692210,5505,275
168,2018-09-24T11:20:12.061,1742021000,776773600,90204240,5497,277
169,2018-09-24T11:20:52.735,1741963000,771231700,88877330,5509,277
170,2018-09-24T11:21:44.693,1726710000,754802700,89670140,5441,269
171,2018-09-24T11:22:31.594,1721819000,754409500,90170910,5447,265
172,2018-09-24T11:23:18.639,1741046000,772345900,86906460,5506,277
173,2018-09-24T11:25:03.413,1728373000,765808600,86530580,5386,266
174,2018-09-24T11:26:05.127,1734300000,784740400,86787370,5475,266
175,2018-09-24T11:27:00.155,1725792000,764485600,87250860,5432,263
176,2018-09-24T11:27:57.087,1746788000,780427300,86549950,5490,276
177,2018-09-24T11:28:50.230,1746596000,783474700,87306990,5517,275
178,2018-09-24T11:29:34.778,1747902000,784334800,87577220,5543,277
179,2018-09-24T11:30:24.628,1745936000,785006600,86795910,5543,275
180,2018-09-24T11:31:33.547,1730511000,761094100,87404090,5392,267
181,2018-09-24T11:32:18.858,1731690000,764473300,87542990,5447,268
182,2018-09-24T11:33:04.667,1768182000,803995600,86821390,5609,287
183,2018-09-24T11:36:27.602,1748984000,782577700,86858620,5465,274
184,2018-09-24T11:37:21.426,1731822000,766062600,86862410,5409,267
185,2018-09-24T11:38:18.896,1747902000,780124200,86362590,5540,276
186,2018-09-24T11:39:10.953,1731822000,764690400,86508060,5421,267
187,2018-09-24T11:40:38.284,1711137000,758960100,87167380,5373,252
188,2018-09-24T11:41:24.853,1750524000,783114200,86947940,5538,275
189,2018-09-24T11:42:22.501,1726013000,759795700,86763810,5395,266
190,2018-09-24T11:43:08.639,1745109000,774774800,86872400,5508,277
191,2018-09-24T11:44:16.232,1732452000,774926300,87998460,5503,265
192,2018-09-24T11:45:07.631,1744060000,774914000,88212060,5510,276
193,2018-09-24T11:55:51.970,1708757000,757010400,87564420,5328,252
194,2018-09-24T11:56:46.253,1741984000,772128800,86854300,5489,276
195,2018-09-24T11:57:37.093,1744388000,769990700,87983300,5528,276
196,2018-09-24T11:58:27.079,1742356000,774578200,86848130,5498,274
197,2018-09-24T11:59:17.960,1744323000,774324200,86841160,5503,276
198,2018-09-24T12:00:12.576,1737245000,774979600,86843890,5510,269
199,2018-09-24T12:01:28.365,1725620000,756731900,88027970,5419,265
200,2018-09-24T12:02:29.222,1737310000,774598700,87161140,5501,268
201,2018-09-24T12:03:48.969,1732067000,771829800,86899520,5481,264
202,2018-09-24T12:04:59.356,1732788000,775290900,86890820,5492,264
203,2018-09-24T12:12:17.936,1741734000,776294400,88327520,5439,273
204,2018-09-24T12:13:19.659,1743667000,775262200,88277090,5500,275
205,2018-09-24T12:14:10.230,1742356000,778547200,88095990,5509,273
206,2018-09-24T12:14:53.068,1742356000,777166800,88707450,5474,273
207,2018-09-24T12:15:43.972,1743405000,774443000,88346530,5487,273
