(PDH-CSV 4.0) (Eastern Standard Time)(300),\\NCR-R20NI8BA19J\.NET CLR Memory(NCR.APTRA.CnsmrAppReference)\# Bytes in all Heaps,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Handle Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Private Bytes,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Thread Count,\\NCR-R20NI8BA19J\Process(NCR.APTRA.CnsmrAppReference)\Virtual Bytes,Sl.No.
09-11-18 47:00,33782236,4049,153059328,202,735789056,133
09-11-18 52:00,33782236,4048,150536192,203,732672000,134
09-11-18 57:00,33782236,4048,150540288,203,732672000,135
09-11-18 02:00,33782236,4043,150519808,202,731623424,136
09-11-18 07:00,33782236,4048,150544384,203,732672000,137
09-11-18 12:00,33782236,4047,150528000,202,732409856,138
09-11-18 17:00,33782236,4047,150200320,202,732409856,139
09-11-18 22:00,33919760,4038,150163456,201,731361280,140
09-11-18 27:00,33919760,4042,150183936,202,732409856,141
09-11-18 32:00,33919760,4042,150441984,202,732409856,142
09-11-18 37:00,33919760,4039,150532096,202,732409856,143
09-11-18 42:00,33919760,4035,150532096,202,731623424,144
09-11-18 47:00,33919760,4044,150540288,202,732409856,145
09-11-18 52:00,33919760,4045,150560768,203,732672000,146
09-11-18 57:00,33919760,4044,150544384,202,732409856,147
09-11-18 02:00,33919760,4039,150290432,201,731361280,148
09-11-18 07:00,33919760,4044,150200320,202,732409856,149
09-11-18 12:00,33919760,4044,150200320,202,732409856,150
09-11-18 17:00,33919760,4026,150437888,201,731353088,151
09-11-18 22:00,33919760,4039,150532096,201,731361280,152
09-11-18 27:00,33919760,4044,150556672,202,732409856,153
09-11-18 32:00,33919760,4044,150552576,202,732409856,154
09-11-18 37:00,33919760,4045,150573056,203,732672000,155
09-11-18 42:00,33919760,4038,150519808,200,730312704,156
09-11-18 47:00,34461208,4200,142020608,208,737251328,157
